Ball,Score,Outcome,Innings
41.5,5--116,M Cranmer to J Carder : No Run,1st Innings - Port Adelaide
41.4,5--116,M Cranmer to J Carder : No Run,1st Innings - Port Adelaide
41.3,5--116,M Cranmer to J Carder : No Run,1st Innings - Port Adelaide
41.2,5--116,M Cranmer to Z McCabe : 1 run,1st Innings - Port Adelaide
41.1,5--115,M Cranmer to Z McCabe : No Run,1st Innings - Port Adelaide
40.6,5--115,J Size to J Carder : No Run,1st Innings - Port Adelaide
40.5,5--115,J Size to J Carder : No Run,1st Innings - Port Adelaide
40.4,5--115,J Size to J Carder : No Run,1st Innings - Port Adelaide
40.3,5--115,J Size to J Carder : No Run,1st Innings - Port Adelaide
40.2,5--115,J Size to J Carder : No Run,1st Innings - Port Adelaide
40.1,5--115,J Size to J Carder : 4 runs,1st Innings - Port Adelaide
39.6,5--111,M Cranmer to Z McCabe : No Run,1st Innings - Port Adelaide
39.5,5--111,M Cranmer to Z McCabe : No Run,1st Innings - Port Adelaide
39.4,5--111,M Cranmer to Z McCabe : 4 runs,1st Innings - Port Adelaide
39.3,5--107,M Cranmer to Z McCabe : No Run,1st Innings - Port Adelaide
39.2,5--107,M Cranmer to Z McCabe : No Run,1st Innings - Port Adelaide
39.1,5--107,M Cranmer to Z McCabe : No Run,1st Innings - Port Adelaide
38.6,5--107,J Size to J Carder : No Run,1st Innings - Port Adelaide
38.5,5--107,J Size to J Carder : No Run,1st Innings - Port Adelaide
38.4,5--107,J Size to J Carder : No Run,1st Innings - Port Adelaide
38.3,5--107,J Size to J Carder : No Run,1st Innings - Port Adelaide
38.2,5--107,J Size to J Carder : No Run,1st Innings - Port Adelaide
38.1,5--107,J Size to J Carder : No Run,1st Innings - Port Adelaide
37.6,5--107,M Cranmer to Z McCabe : No Run,1st Innings - Port Adelaide
37.5,5--107,M Cranmer to Z McCabe : 2 runs,1st Innings - Port Adelaide
37.4,5--105,M Cranmer to Z McCabe : No Run,1st Innings - Port Adelaide
